age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
40,Private,96764,Masters,9,Divorced,Transport-moving,Not-in-family,White,Female,0,0,40,Columbia,<=50K
39,Private,188976,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,1,0,40,United-States,<=50K
17,Private,361856,HS-grad,7,Married-civ-spouse,Armed-Forces,Own-child,White,Male,5,0,48,Italy,<=50K
26,Federal-gov,188402,Bachelors,9,Never-married,Other-service,Unmarried,Asian-Pac-Islander,Female,92,4,22,United-States,<=50K
28,Private,178036,Masters,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,3,60,United-States,<=50K
38,Private,183286,12th,9,Never-married,?,Own-child,White,Female,0,0,21,United-States,<=50K
26,Private,156941,11th,2,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0,0,16,Scotland,<=50K
50,Federal-gov,45603,HS-grad,10,Never-married,Tech-support,Not-in-family,White,Male,0,4,17,United-States,<=50K
33,Private,145602,Bachelors,10,Married-civ-spouse,Prof-specialty,Wife,White,Male,93,2550,40,United-States,>50K
39,Private,326424,Some-college,10,Never-married,?,Not-in-family,White,Male,0,1,40,South,<=50K
32,Private,191555,Bachelors,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,36,1,40,United-States,<=50K
34,Local-gov,66880,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,27,Ecuador,<=50K
45,Private,170929,Assoc-voc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,3,40,United-States,>50K
45,Private,92463,Bachelors,15,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,77,2,24,United-States,>50K
19,Private,182649,Masters,9,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,13,1,56,United-States,<=50K
25,Private,172564,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,41,0,40,United-States,>50K
35,Private,84428,Some-college,9,Married-civ-spouse,?,Own-child,White,Male,70,0,13,United-States,<=50K
20,Without-pay,151569,Bachelors,12,Separated,Sales,Other-relative,White,Male,14,4,40,United-States,<=50K
30,Private,155611,Bachelors,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2033,50,United-States,>50K
39,Private,200510,Some-college,2,Never-married,Craft-repair,Own-child,White,Female,58,4,40,United-States,<=50K
39,State-gov,288381,HS-grad,2,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,17,United-States,<=50K
33,Private,152400,HS-grad,2,Separated,Craft-repair,Own-child,Black,Female,29,1,42,United-States,<=50K
29,Without-pay,126839,Bachelors,9,Never-married,?,Not-in-family,White,Female,46,0,6,United-States,<=50K
45,Private,287162,10th,9,Separated,Other-service,Not-in-family,White,Male,0,0,33,United-States,<=50K
32,Private,202794,Masters,10,Widowed,Other-service,Own-child,White,Female,0,4,22,United-States,<=50K
28,Local-gov,322557,HS-grad,11,Never-married,Sales,Unmarried,White,Male,0,0,39,United-States,<=50K
38,Private,115221,Some-college,9,Married-civ-spouse,Handlers-cleaners,Own-child,White,Female,27,2,40,Cambodia,<=50K
27,Private,185725,Masters,7,Divorced,Other-service,Not-in-family,White,Female,0,5,40,United-States,<=50K
60,Private,247514,Bachelors,7,Married-civ-spouse,Other-service,Own-child,White,Male,54,0,46,United-States,<=50K
32,Private,177722,7th-8th,13,Divorced,Exec-managerial,Own-child,White,Female,21,0,40,Ireland,<=50K
28,Private,173690,Some-college,10,Separated,Farming-fishing,Not-in-family,Asian-Pac-Islander,Female,4,4,15,United-States,<=50K
46,Private,156578,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,98,0,40,United-States,<=50K
38,Private,307842,11th,9,Married-civ-spouse,Protective-serv,Not-in-family,White,Female,112,2,40,India,<=50K
50,Private,55117,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,26,0,40,Mexico,<=50K
33,Private,173121,Some-college,12,Married-civ-spouse,Craft-repair,Own-child,White,Male,1,0,47,?,<=50K
46,Private,184806,Assoc-voc,1,Never-married,Craft-repair,Other-relative,White,Male,17,0,60,Trinadad&Tobago,>50K
44,Private,53156,Assoc-voc,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K
33,Private,206008,5th-6th,9,Separated,Transport-moving,Own-child,White,Female,0,0,40,Philippines,<=50K
30,Private,135427,HS-grad,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,5,40,United-States,<=50K
30,State-gov,140656,10th,6,Married-civ-spouse,Sales,Husband,White,Male,16687,3,60,United-States,<=50K
32,Private,279986,Some-college,9,Divorced,Protective-serv,Unmarried,Asian-Pac-Islander,Male,38,1,40,China,>50K
42,Private,171702,Bachelors,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,27,6,41,United-States,>50K
30,Private,345346,9th,10,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,15,1,57,?,<=50K
35,Private,480939,Bachelors,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,57,United-States,>50K
34,Self-emp-not-inc,108314,Bachelors,12,Married-spouse-absent,Sales,Husband,White,Male,69,3,34,United-States,<=50K
33,Private,322799,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,58,4,11,India,<=50K
60,Self-emp-not-inc,196266,HS-grad,9,Separated,Other-service,Husband,White,Male,58,0,54,Philippines,<=50K
38,Private,581269,HS-grad,2,Divorced,?,Not-in-family,White,Female,37,5,40,United-States,<=50K
33,Private,180409,9th,8,Married-civ-spouse,?,Husband,White,Male,50,1,40,United-States,<=50K
42,Private,186771,Assoc-voc,14,Married-civ-spouse,Transport-moving,Wife,White,Male,89,3,40,United-States,>50K
47,Self-emp-not-inc,425576,Doctorate,1,Never-married,Sales,Husband,White,Male,52,0,24,Philippines,>50K
47,?,131089,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,19,Thailand,<=50K
53,Self-emp-not-inc,282362,HS-grad,9,Divorced,?,Unmarried,White,Female,0,0,40,United-States,<=50K
23,State-gov,214727,9th,9,Never-married,Machine-op-inspct,Other-relative,White,Female,26,2,40,United-States,<=50K
37,Private,251902,Some-college,9,Never-married,Adm-clerical,Not-in-family,Black,Male,19,3,40,United-States,<=50K
35,Private,179640,Bachelors,9,Married-civ-spouse,?,Husband,White,Male,73,0,60,United-States,>50K
49,Private,205425,11th,10,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,3,40,United-States,<=50K
55,Private,245890,Masters,9,Married-civ-spouse,Other-service,Husband,White,Male,0,3,97,United-States,<=50K
67,Private,167496,Assoc-acdm,9,Married-civ-spouse,Prof-specialty,Husband,Other,Male,74,0,40,United-States,>50K
18,State-gov,97896,Bachelors,10,Married-civ-spouse,?,Husband,White,Female,0,3,40,United-States,<=50K
30,Private,180743,Some-college,11,Never-married,Prof-specialty,Not-in-family,Black,Male,0,2,31,United-States,<=50K
30,Self-emp-not-inc,109545,9th,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,3,55,Cambodia,>50K
52,Private,388388,Bachelors,11,Separated,Sales,Husband,Asian-Pac-Islander,Male,43,0,40,United-States,<=50K
18,Private,216314,Assoc-voc,9,Married-civ-spouse,Other-service,Not-in-family,Black,Female,0,0,37,Cuba,<=50K
26,Private,147039,HS-grad,9,Widowed,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,3,19,?,<=50K
30,Private,214605,Some-college,9,Never-married,?,Not-in-family,Black,Female,0,2,36,United-States,<=50K
56,Private,122237,Assoc-voc,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,46,United-States,>50K
27,?,341608,Bachelors,9,Never-married,Other-service,Unmarried,White,Female,66,0,88,?,<=50K
22,Private,94320,Some-college,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,37,0,40,United-States,<=50K
30,Private,74298,HS-grad,9,Divorced,Transport-moving,Other-relative,White,Female,0,0,14,United-States,>50K
42,Private,131024,Some-college,9,Separated,Machine-op-inspct,Not-in-family,White,Male,0,2,40,United-States,<=50K
25,Private,389282,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,6,56,United-States,<=50K
31,Private,223649,HS-grad,5,Never-married,Tech-support,Husband,White,Female,0,0,38,Philippines,<=50K
20,Private,161890,5th-6th,9,Never-married,?,Not-in-family,White,Female,0,1,36,United-States,<=50K
36,Private,286230,Masters,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,73,0,40,United-States,>50K
36,Private,329735,Some-college,9,Divorced,Adm-clerical,Not-in-family,Black,Female,51,0,40,?,<=50K
28,State-gov,212509,11th,11,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,64,0,90,United-States,<=50K
35,Private,117819,Bachelors,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,3,49,United-States,>50K
25,Private,165613,10th,10,Married-civ-spouse,Other-service,Not-in-family,White,Female,0,2,40,United-States,<=50K
37,Private,223326,Masters,5,Married-civ-spouse,Priv-house-serv,Husband,Black,Male,0,2,59,Cambodia,<=50K
44,Private,38549,Bachelors,9,Divorced,?,Not-in-family,Black,Female,0,5,42,United-States,<=50K
43,Local-gov,170528,Bachelors,1,Married-civ-spouse,?,Husband,White,Male,58,0,51,United-States,>50K
21,Private,102354,Assoc-acdm,7,Married-civ-spouse,Craft-repair,Unmarried,Other,Female,8,4,77,Cambodia,<=50K
59,Private,410934,1st-4th,1,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,Peru,<=50K
45,Private,15357,Masters,11,Married-civ-spouse,Sales,Husband,Black,Male,0,0,20,United-States,>50K
42,Private,55243,Assoc-voc,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,Puerto-Rico,>50K
44,Local-gov,177580,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,88,0,60,United-States,>50K
39,Private,131172,Some-college,1,Married-civ-spouse,?,Own-child,Black,Female,15,0,40,United-States,<=50K
34,Private,167383,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,7,23,United-States,<=50K
31,Private,723625,Masters,9,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
46,Private,98953,Bachelors,12,Married-civ-spouse,Priv-house-serv,Husband,Black,Male,72,3,18,United-States,<=50K
23,Private,437372,9th,10,Married-spouse-absent,?,Own-child,White,Female,0,0,33,United-States,<=50K
21,Federal-gov,296590,HS-grad,7,Divorced,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,56,Haiti,<=50K
39,Private,387421,Some-college,9,Separated,Handlers-cleaners,Unmarried,White,Male,32,0,40,United-States,<=50K
66,Self-emp-inc,116339,HS-grad,3,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Female,34,2,40,United-States,<=50K
52,Private,163714,Masters,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1765,25,?,>50K
17,Self-emp-not-inc,235015,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,15,0,23,United-States,<=50K
44,Private,190162,HS-grad,9,Never-married,Adm-clerical,Wife,White,Female,21,0,34,United-States,<=50K
32,Private,103022,Assoc-voc,12,Married-civ-spouse,?,Wife,White,Male,0,4,60,?,<=50K
34,Federal-gov,109696,11th,9,Married-civ-spouse,Other-service,Husband,White,Male,1251,1,40,?,<=50K
24,Private,36194,Bachelors,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,59,0,50,United-States,>50K
31,Private,182451,Prof-school,12,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,61,United-States,<=50K
30,Local-gov,329722,9th,2,Divorced,Prof-specialty,Not-in-family,Black,Female,0,4,60,United-States,<=50K
35,Local-gov,281046,12th,9,Divorced,Transport-moving,Husband,White,Male,0,4,61,Vietnam,<=50K
81,State-gov,242245,11th,10,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,46,United-States,<=50K
17,Self-emp-not-inc,151057,11th,9,Divorced,Adm-clerical,Not-in-family,Black,Female,81,6,21,United-States,<=50K
21,Federal-gov,194374,Prof-school,9,Married-civ-spouse,Priv-house-serv,Own-child,White,Female,32,5,53,China,<=50K
29,Private,217508,HS-grad,10,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Female,48,3,40,United-States,<=50K
72,Private,205279,Masters,9,Married-civ-spouse,Farming-fishing,Not-in-family,Black,Male,0,5,26,United-States,<=50K
49,Private,192331,7th-8th,1,Divorced,Sales,Unmarried,White,Male,11,0,40,England,<=50K
26,Federal-gov,78005,Assoc-voc,10,Married-civ-spouse,Other-service,Unmarried,Other,Female,4267,1,40,China,<=50K
22,Private,197467,Assoc-voc,9,Married-spouse-absent,Other-service,Husband,White,Female,74,2,40,United-States,<=50K
32,Private,41016,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,5303,0,40,United-States,<=50K
26,Federal-gov,158724,Some-college,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,640,4,40,Outlying-US(Guam-USVI-etc),>50K
33,Private,177252,Some-college,4,Married-civ-spouse,Tech-support,Unmarried,Black,Male,0,3,13,England,<=50K
28,Private,171342,HS-grad,5,Never-married,Adm-clerical,Own-child,White,Female,0,2,40,United-States,<=50K
45,Private,303595,Some-college,2,Divorced,?,Husband,Black,Male,0,5,40,United-States,<=50K
41,Private,178092,Bachelors,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,97,5,40,United-States,>50K
23,Private,244506,HS-grad,7,Married-spouse-absent,Transport-moving,Not-in-family,Black,Female,41,1,40,Jamaica,<=50K
42,Private,128877,Bachelors,2,Never-married,Other-service,Not-in-family,White,Female,0,5,57,Mexico,<=50K
24,Private,84275,Some-college,10,Married-civ-spouse,Other-service,Not-in-family,White,Male,46,0,14,Iran,<=50K
63,Private,142969,Assoc-voc,3,Never-married,Sales,Own-child,White,Female,0,3,27,United-States,<=50K
46,Self-emp-not-inc,218684,Bachelors,9,Married-civ-spouse,?,Husband,White,Female,0,0,40,United-States,>50K
46,?,131979,Assoc-acdm,9,Never-married,Exec-managerial,Wife,White,Female,74,0,40,United-States,<=50K
38,Private,193066,11th,11,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,47,?,<=50K
61,Private,280812,11th,12,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,104,0,40,China,<=50K
42,Self-emp-not-inc,237674,HS-grad,12,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
34,Private,206847,HS-grad,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Male,0,4,40,United-States,<=50K
40,Private,211543,9th,10,Married-civ-spouse,Craft-repair,Husband,White,Male,4382,4,21,United-States,<=50K
46,Private,94486,9th,9,Never-married,?,Not-in-family,White,Male,0,1,22,Taiwan,<=50K
24,Private,384210,HS-grad,10,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Female,0,0,38,United-States,<=50K
45,Private,143166,Masters,9,Married-civ-spouse,Sales,Husband,White,Male,69,1,19,United-States,<=50K
34,Private,278287,Prof-school,3,Divorced,Adm-clerical,Not-in-family,White,Female,1,1,40,United-States,<=50K
47,Federal-gov,162040,Bachelors,11,Married-civ-spouse,Craft-repair,Husband,White,Male,58,0,50,United-States,>50K
34,Private,182188,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,9,3,40,United-States,<=50K
40,Private,64974,Some-college,4,Separated,Craft-repair,Not-in-family,Black,Female,5,2329,78,United-States,<=50K
33,Private,104283,9th,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,41,United-States,>50K
44,Private,797897,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Male,57,3,40,United-States,<=50K
45,Private,233560,9th,9,Never-married,?,Husband,Asian-Pac-Islander,Female,37,3,40,Columbia,<=50K
35,Private,310334,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,6,38,United-States,<=50K
20,Private,38120,Some-college,3,Never-married,?,Own-child,White,Female,22,2,40,United-States,<=50K
26,Private,153745,Some-college,10,Never-married,?,Own-child,White,Female,28,0,40,United-States,<=50K
29,Local-gov,262948,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,121,0,74,United-States,>50K
26,Private,26678,Some-college,14,Never-married,Handlers-cleaners,Not-in-family,White,Male,8465,0,40,France,<=50K
32,Private,183077,Assoc-acdm,16,Married-civ-spouse,Tech-support,Unmarried,Black,Female,0,3,45,United-States,<=50K
49,Private,123355,Bachelors,9,Married-civ-spouse,Transport-moving,Unmarried,Black,Male,66,2,52,United-States,>50K
24,Private,163037,HS-grad,9,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,29,0,60,Trinadad&Tobago,<=50K
23,Private,351127,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,8,0,78,United-States,<=50K
26,Private,378877,Some-college,13,Married-civ-spouse,Transport-moving,Unmarried,White,Male,49,0,50,United-States,>50K
40,Private,316960,Masters,9,Never-married,Adm-clerical,Unmarried,White,Male,0,0,51,United-States,<=50K
39,?,335566,HS-grad,10,Divorced,Handlers-cleaners,Wife,Black,Female,95,3,56,United-States,<=50K
35,Private,337014,HS-grad,2,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,85,0,35,United-States,>50K
23,Without-pay,23788,HS-grad,9,Married-civ-spouse,?,Own-child,White,Female,0,3,25,United-States,<=50K
17,Private,67783,HS-grad,7,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
44,?,350775,11th,11,Married-civ-spouse,Craft-repair,Husband,White,Male,41,0,47,United-States,<=50K
35,Private,247666,Some-college,9,Widowed,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,23,0,13,United-States,<=50K
58,Self-emp-not-inc,214017,Bachelors,9,Never-married,Sales,Own-child,White,Male,7311,1,40,United-States,>50K
22,Private,204485,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Female,0,2,40,United-States,<=50K
27,Private,214122,Some-college,14,Separated,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
28,Private,242656,Bachelors,6,Never-married,Exec-managerial,Husband,White,Male,62,3,40,United-States,<=50K
56,Private,123771,Bachelors,9,Married-civ-spouse,Prof-specialty,Own-child,Black,Male,0,5,40,United-States,>50K
38,Private,208217,Assoc-acdm,14,Married-spouse-absent,Priv-house-serv,Unmarried,Black,Male,0,2,63,United-States,<=50K
60,Private,236052,Bachelors,11,Married-civ-spouse,Other-service,Husband,White,Female,77,1,55,United-States,<=50K
21,Local-gov,250523,11th,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,76,5,56,United-States,<=50K
38,Never-worked,65966,Bachelors,9,Never-married,Craft-repair,Other-relative,White,Female,77,0,40,United-States,<=50K
18,Private,74566,HS-grad,10,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,2,0,40,El-Salvador,>50K
50,Private,232817,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,37,United-States,<=50K
30,Private,68486,Assoc-acdm,10,Divorced,Transport-moving,Not-in-family,White,Female,26,0,21,United-States,<=50K
23,Private,64702,HS-grad,10,Married-civ-spouse,Sales,Unmarried,White,Male,22,4,48,United-States,>50K
24,Private,308390,HS-grad,1,Divorced,Exec-managerial,Husband,White,Female,0,1607,61,United-States,<=50K
22,Federal-gov,89993,Assoc-acdm,2,Divorced,Exec-managerial,Own-child,White,Female,108,3,25,Cambodia,<=50K
39,Private,263376,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Female,43,0,40,United-States,<=50K
31,Private,183178,Assoc-voc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,32,5,45,United-States,>50K
40,Private,28400,Assoc-voc,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,12,4,98,United-States,>50K
41,Self-emp-not-inc,130378,Bachelors,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,25,United-States,<=50K
49,Private,126418,7th-8th,12,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Haiti,>50K
45,Private,254008,10th,9,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Female,14,1,20,United-States,<=50K
31,Private,160837,Some-college,13,Married-civ-spouse,?,Wife,Black,Female,0,0,60,United-States,<=50K
53,Private,163468,Prof-school,7,Separated,Other-service,Not-in-family,White,Female,0,0,60,United-States,>50K
26,Private,210451,Some-college,9,Never-married,Craft-repair,Unmarried,White,Female,0,2,40,United-States,<=50K
36,Private,368851,Bachelors,3,Never-married,?,Wife,White,Male,0,1,10,United-States,<=50K
25,Local-gov,290095,Masters,2,Never-married,Protective-serv,Husband,White,Male,0,1,40,Peru,<=50K
18,Private,101944,Some-college,10,Never-married,Exec-managerial,Husband,White,Female,0,0,40,Nicaragua,<=50K
25,Private,358686,Bachelors,9,Married-civ-spouse,Farming-fishing,Wife,White,Male,71,0,24,United-States,<=50K
29,Private,175232,HS-grad,9,Divorced,Exec-managerial,Own-child,White,Female,0,0,40,?,<=50K
40,Private,399775,1st-4th,13,Separated,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,0,0,94,United-States,<=50K
69,Private,134715,Doctorate,9,Never-married,Protective-serv,Not-in-family,Asian-Pac-Islander,Female,0,1313,36,United-States,<=50K
51,Private,25585,Bachelors,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,84,United-States,>50K
41,Private,239822,Masters,9,Divorced,Transport-moving,Unmarried,White,Female,0,5,40,United-States,<=50K
52,Private,217120,Bachelors,9,Married-civ-spouse,Exec-managerial,Own-child,White,Male,41,0,73,United-States,<=50K
52,Private,128717,HS-grad,7,Separated,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,0,6,40,United-States,<=50K
39,Private,235208,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,49,United-States,<=50K
51,Self-emp-not-inc,66455,HS-grad,4,Married-civ-spouse,Sales,Own-child,White,Male,0,2,7,United-States,<=50K
36,Private,295282,Assoc-voc,11,Married-AF-spouse,Sales,Husband,White,Male,0,1,40,United-States,<=50K
25,Private,180102,12th,15,Never-married,?,Unmarried,White,Female,34,2,50,United-States,<=50K
57,Private,250692,7th-8th,9,Married-civ-spouse,Protective-serv,Not-in-family,White,Female,0,1467,12,United-States,<=50K
